SSN,FirstName,LastName,Address,City,County,Phone,Bdate
264816896,James,Butt,6649 N Blue Gum St,New Orleans,Orleans,504-845-1427,1968-10-10
240471168,Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,Livingston,810-374-9840,1975-11-01
285200976,Art,Venere,8 W Cerritos Ave #54,Bridgeport,Gloucester,605-264-4130,1982-11-13
309323096,Lenna,Paprocki,639 Main St,Anchorage,Anchorage,907-921-2010,1978-08-09
272610795,Donette,Foller,34 Center St,Hamilton,Butler,513-549-4561,1990-06-11
250951162,Simona,Morasca,3 Mcauley Dr,Ashland,Ashland,419-800-6759,1994-08-15
272913578,Mitsue,Tollner,7 Eads St,Chicago,Cook,773-924-8565,1984-07-04
268682534,Leota,Dilliard,7 W Jackson Blvd,San Jose,Santa Clara,408-813-1105,1991-05-09
310908858,Sage,Wieser,5 Boston Ave #88,Sioux Falls,Minnehaha,605-794-4895,1982-02-25
322273872,Kris,Marrier,228 Runamuck Pl #2808,Baltimore,Baltimore City,410-804-4694,1956-04-04
256558303,Minna,Amigon,2371 Jerrold Ave,Kulpsville,Montgomery,215-422-8694,1995-09-09
302548590,Abel,Maclead,37275 St  Rt 17m M,Middle Island,Suffolk,631-677-3675,1960-11-05
284965676,Kiley,Caldarera,25 E 75th St #69,Los Angeles,Los Angeles,310-254-3084,1981-05-09
277292710,Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,Geauga,440-579-7763,1982-02-25
331160133,Cammy,Albares,56 E Morehead St,Laredo,Webb,956-841-7216,1956-04-04
331293204,Mattie,Poquette,73 State Road 434 E,Phoenix,Maricopa,605-953-6360,1995-09-09
290123298,Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,Warren,931-235-7959,1960-11-02
286411536,Gladys,Rim,322 New Horizon Blvd,Milwaukee,Milwaukee,414-377-2880,1991-05-09
294860856,Yuki,Whobrey,1 State Route 27,Taylor,Wayne,313-341-4470,1985-02-25
317434088,Fletcher,Flosi,394 Manchester Blvd,Rockford,Winnebago,815-426-5657,1961-04-04
814654987,Emily,Parker,1234 Elm Street,Los Angeles,Los Angeles,213-555-7890,1985-05-15
987654321,Michael,Smith,5678 Oak Avenue,Chicago,Cook,312-555-1234,1973-09-20
345986511,Sarah,Johnson,4321 Maple Lane,New York,New York,212-555-5678,1990-03-25
565110925,David,Willson,7890 Birch Road,Houston,Harris,713-555-4567,1982-11-12
667025599,Jennifer,David,2468 Pine Street,San Francisco,San Francisco,415-555-2345,1997-02-05
343114946,Mathew,Alison,1357 Cedar Avenue,Miami,Dade,305-555-7890,1993-03-01
911247766,Laura,Martin,6543 Aspen Court,Denver,Denver,650-212-0099,1995-07-06
717822387,John,Thomson,8765 Redwood Drive,Phoenix,Maricopa,214-323-7529,1990-09-09
676823082,Jessica,Anderson,908 Cooper St,Arlington,Tarrant,914-21-0909,1993-02-11
